iter	Passed	Remaining
0	59	59485
1	59	29815
2	59	19930
3	60	14985
4	60	12025
5	60	10050
6	60	8635
7	61	7573
8	61	6752
9	61	6095
10	61	5555
11	61	5103
12	62	4722
13	62	4394
14	62	4110
15	62	3862
16	63	3643
17	63	3449
18	63	3274
19	63	3116
20	63	2975
21	64	2846
22	64	2729
23	64	2622
24	64	2522
25	64	2431
26	65	2345
27	65	2265
28	65	2192
29	65	2124
30	65	2060
31	66	2000
32	66	1944
33	66	1890
34	66	1840
35	66	1792
36	67	1748
37	67	1706
38	67	1665
39	67	1626
40	67	1589
41	68	1554
42	68	1521
43	68	1489
44	68	1459
45	68	1430
46	69	1403
47	69	1376
48	69	1350
49	69	1326
50	69	1302
51	70	1280
52	70	1259
53	70	1239
54	70	1218
55	71	1198
56	71	1180
57	71	1161
58	71	1144
59	71	1126
60	72	1110
61	72	1094
62	72	1078
63	72	1063
64	72	1049
65	73	1034
66	73	1021
67	73	1006
68	73	993
69	73	980
70	73	968
71	74	956
72	74	944
73	74	933
74	74	922
75	74	911
76	75	901
77	75	891
78	75	882
79	75	872
80	76	864
81	76	855
82	76	846
83	76	837
84	76	828
85	77	819
86	77	810
87	77	802
88	77	794
89	77	787
90	78	780
91	78	772
92	78	765
93	78	758
94	78	751
95	79	745
96	79	738
97	79	731
98	79	725
99	79	719
100	80	712
101	80	705
102	80	699
103	80	694
104	80	688
105	80	682
106	81	677
107	81	672
108	81	666
109	81	661
110	81	656
111	82	651
112	82	646
113	82	641
114	82	636
115	82	631
116	83	627
117	83	622
118	83	617
119	83	613
120	83	608
121	83	604
122	84	599
123	84	595
124	84	591
125	84	587
126	84	583
127	84	578
128	85	574
129	85	571
130	85	567
131	85	563
132	85	560
133	86	556
134	86	552
135	86	549
136	86	545
137	86	542
138	86	538
139	87	535
140	87	532
141	87	528
142	87	525
143	87	522
144	88	519
145	88	516
146	88	513
147	88	510
148	88	507
149	89	504
150	89	501
151	89	498
152	89	495
153	89	493
154	89	490
155	90	487
156	90	485
157	90	483
158	90	480
159	91	477
160	91	475
161	91	472
162	91	470
163	91	467
164	91	465
165	92	462
166	92	460
167	92	457
168	92	455
169	92	453
170	92	450
171	93	448
172	93	446
173	93	444
174	93	441
175	93	439
176	94	437
177	94	435
178	94	433
179	94	431
180	94	428
181	94	426
182	95	424
183	95	422
184	95	420
185	95	418
186	95	416
187	96	414
188	96	413
189	96	411
190	96	409
191	96	407
192	96	405
193	97	403
194	97	401
195	97	400
196	97	398
197	97	396
198	98	394
199	98	393
200	98	391
201	98	389
202	98	388
203	99	386
204	99	384
205	99	383
206	99	381
207	99	380
208	99	378
209	100	376
210	100	375
211	100	373
212	100	372
213	100	370
214	101	369
215	101	368
216	101	366
217	101	365
218	102	363
219	102	362
220	102	360
221	102	359
222	102	358
223	103	357
224	103	355
225	103	354
226	103	353
227	103	351
228	104	350
229	104	349
230	104	348
231	104	347
232	105	346
233	105	345
234	105	344
235	105	343
236	106	341
237	106	340
238	106	339
239	107	338
240	107	337
241	107	336
242	107	335
243	107	334
244	108	332
245	108	331
246	108	330
247	108	329
248	108	328
249	108	326
250	109	325
251	109	324
252	109	323
253	109	322
254	110	321
255	110	320
256	110	319
257	110	318
258	110	317
259	111	316
260	111	314
261	111	313
262	111	312
263	111	311
264	111	310
265	112	309
266	112	308
267	112	307
268	112	306
269	112	305
270	113	304
271	113	303
272	113	302
273	113	301
274	113	300
275	113	298
276	114	297
277	114	296
278	114	295
279	114	294
280	114	293
281	115	292
282	115	291
283	115	290
284	115	289
285	115	288
286	115	287
287	116	286
288	116	286
289	116	285
290	116	284
291	116	283
292	117	282
293	117	281
294	117	280
295	117	279
296	117	278
297	117	277
298	118	276
299	118	275
300	118	275
301	118	274
302	118	273
303	118	272
304	119	271
305	119	270
306	119	269
307	119	269
308	119	268
309	120	267
310	120	266
311	120	265
312	120	264
313	120	264
314	121	263
315	121	262
316	121	261
317	121	260
318	121	259
319	121	259
320	122	258
321	122	257
322	122	256
323	122	255
324	122	255
325	123	254
326	123	253
327	123	252
328	123	251
329	123	251
330	123	250
331	124	249
332	124	248
333	124	248
334	124	247
335	124	246
336	124	245
337	125	245
338	125	244
339	125	243
340	125	242
341	125	242
342	126	241
343	126	240
344	126	240
345	126	239
346	126	238
347	127	237
348	127	237
